,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
267,Loughborough,East Midlands,226000,508,26432,7200,4,12,-0.5399623166109792,0.20817988212235525
268,Louth and Horncastle,East Midlands,200000,484,25173,6500,4,13,-1.066846162309654,0.1902847950363286
269,Ludlow,West Midlands,255000,481,25012,6000,3,10,-0.5360456511389275,0.23964339024853323
270,Luton North,East of England,290000,505,26239,6450,3,9,0.005427005841323528,0.2397120447477223
271,Luton South,East of England,276000,503,26177,10200,5,9,-0.15477392423949857,1.2972908077324405
272,Macclesfield,North West,260000,536,27851,4000,2,11,0.14512105589253663,-0.8792898668764015
273,Maidenhead,South East,520000,613,31897,14000,3,6,2.828214076185024,0.9800599953209311
274,Maidstone and The Weald,South East,326000,541,28111,7200,2,9,0.7670641330227187,-0.18689067178105687
275,Makerfield,North West,160000,426,22136,6000,5,14,-2.211305462099204,0.7502968364092512
276,Maldon,East of England,370000,531,27607,7000,2,7,0.9602750490522663,0.12600081253477305
277,Manchester Central,North West,215000,613,31886,8000,5,15,0.42234889839816503,-0.6303461869229784
278,"Manchester, Gorton",North West,185000,553,28746,7575,5,16,-0.5761853752126835,-0.29685747334632423
279,"Manchester, Withington",North West,290000,454,23587,6000,2,8,-0.45581010225471374,0.4490145609938816
280,Mansfield,East Midlands,161550,536,27877,5710,4,17,-0.9202434796375311,-0.8084441965506659
281,Meon Valley,South East,355000,517,26905,8000,3,8,0.5514677549095841,0.5425622694795674
282,Meriden,West Midlands,299973,387,20103,5645,2,7,-1.2223221185232187,1.0998242851410451
283,Mid Bedfordshire,East of England,350000,472,24534,4800,1,7,0.1524795218494433,0.038048077478064934
284,Mid Derbyshire,East Midlands,238500,451,23431,8700,4,10,-0.9931626499061388,1.128806947952146
285,Mid Dorset and North Poole,South West,365000,479,24918,10425,3,7,0.2935595410190105,1.3266255767286066
286,Mid Norfolk,East of England,260000,609,31647,5000,2,12,1.0541262219260945,-1.476981809869795
287,Mid Sussex,South East,395000,541,28106,9010,3,7,1.1330191526042381,0.6311937506505005
288,Mid Worcestershire,West Midlands,275000,582,30264,2800,1,11,0.8768938962324507,-1.702605584937134
289,Middlesbrough,North East,110000,450,23384,1,0,21,-2.3161770110524005,-2.3759654279086164
290,Middlesbrough South and East Cleveland,North East,160000,480,24955,1000,1,16,-1.3852811339128872,-1.693764526975821
291,Milton Keynes North,South East,290000,646,33566,2001,1,12,1.6308644922506448,-2.446067239708134
292,Milton Keynes South,South East,312500,582,30259,6500,2,10,1.1344043834594582,-0.7622265147627665
293,Mitcham and Morden,London,433250,410,21304,9650,3,5,-0.23397609422167767,2.1235995897900253
294,Mole Valley,South East,575000,575,29895,14000,3,5,2.605960743661602,1.4982849287708935
295,Morecambe and Lunesdale,North West,175000,465,24154,6400,4,14,-1.4992490640681118,0.21538298688890808
296,Morley and Outwood,Yorkshire and The Humber,204995,492,25563,6399,4,12,-0.8622992993620471,0.2071963083000613
297,New Forest East,South East,330000,510,26504,8010,3,8,0.37142947342159177,0.5689866055436199
298,New Forest West,South East,419250,467,24305,10850,3,6,0.4329258141250418,1.6698830685278931
299,Newark,East Midlands,235725,441,22953,5445,3,10,-1.146965840977133,0.48328292831558534
300,Newbury,South East,345000,688,35755,2800,1,10,2.585920702375815,-2.435003069979578
301,Newcastle upon Tyne Central,North East,150000,546,28387,1600,1,19,-0.8028634676036729,-2.48472423529904
302,Newcastle upon Tyne East,North East,167000,528,27472,3400,2,16,-0.753569265997654,-1.502691395471775
303,Newcastle upon Tyne North,North East,185000,421,21866,2000,1,12,-1.6614391697382018,-0.6234848715376832
304,Newcastle-under-Lyme,West Midlands,165000,537,27903,6000,4,17,-0.8850982243559785,-0.7689842541549132
305,Newton Abbot,South West,265000,461,23993,5600,2,9,-0.5537790797567601,0.19586484473092294
306,"Normanton, Pontefract and Castleford",Yorkshire and The Humber,158500,550,28590,2700,2,18,-0.7139156083303689,-1.9899268091872995
307,North Cornwall,South West,275000,480,24976,9000,4,9,-0.3811479319765287,1.0611171660250716
308,North Devon,South West,275000,474,24632,8500,4,9,-0.48710994540608854,1.0469884093195747
309,North Dorset,South West,330000,489,25449,9000,3,8,0.14866656869181447,0.8901547594085991
310,North Durham,North East,115000,452,23509,-200,0,20,-2.1887678803090123,-2.323940424545972
311,North East Bedfordshire,East of England,330000,517,26889,2400,1,8,0.4696662128266772,-0.8208261608690717
312,North East Cambridgeshire,East of England,225000,476,24752,7000,4,11,-0.8813061378777557,0.5547384775382578
313,North East Derbyshire,East Midlands,207000,499,25938,5000,3,13,-0.785508236067049,-0.4104407343968722
314,North East Hampshire,South East,460000,642,33368,10000,2,7,2.8538366728791207,-0.2913873999465944
315,North East Hertfordshire,East of England,375000,483,25116,6000,2,7,0.30391700694071694,0.41844459286564123
316,North East Somerset,South West,315000,493,25626,6000,2,8,0.13920672574143844,0.14303770788476905
317,North Herefordshire,West Midlands,287000,458,23816,6400,3,8,-0.5267762773136688,0.7336337358286147
318,North Norfolk,East of England,293000,539,28018,8600,3,10,0.4711035088708635,0.15186979680507479
319,North Shropshire,West Midlands,225000,460,23910,6250,3,11,-0.9922895827069292,0.32160084312327947
320,North Somerset,South West,358750,522,27128,6750,2,8,0.7003152399075044,0.06196095601401249
321,North Swindon,South West,244500,484,25173,2900,1,10,-0.4089815541413298,-0.7791184349117963
322,North Thanet,South East,305000,440,22890,11400,5,8,-0.732713433865537,2.161660659363068
323,North Tyneside,North East,150000,474,24664,1500,1,16,-1.4711552162805681,-1.588539391620984
324,North Warwickshire,West Midlands,224950,486,25262,9000,5,11,-0.7923011785875329,1.01745196601199
325,North West Cambridgeshire,East of England,245000,479,24929,6000,3,10,-0.5933116567313192,0.23952860104751467
326,North West Durham,North East,125500,442,23005,1700,1,18,-2.144159780773271,-1.500315127832101
327,North West Hampshire,South East,318000,518,26957,2705,1,8,0.4585842413687713,-0.8076011522464529
328,North West Leicestershire,East Midlands,230000,502,26099,5000,2,11,-0.3508992909689251,-0.4879784173900419
329,North West Norfolk,East of England,245000,524,27248,7300,4,11,-0.17290015024972788,0.20401155862147127
330,North Wiltshire,South West,310000,519,26962,3700,1,9,0.3944375623162092,-0.7776965415659937
331,Northampton North,East Midlands,233250,559,29063,6651,3,12,0.25637079772510524,-0.5771590403407333
332,Northampton South,East Midlands,222000,506,26328,7400,4,12,-0.570144272862774,0.2474450683478513
333,Norwich North,East of England,235000,477,24794,5600,3,11,-0.7672548759738658,0.09626821941482949
334,Norwich South,East of England,235000,502,26078,5200,2,11,-0.32719439159642416,-0.4502010237958683
335,Nottingham East,East Midlands,162500,488,25366,7500,6,16,-1.638930295959884,0.5024220762879511
336,Nottingham North,East Midlands,155000,441,22942,7000,6,15,-2.207717145536974,0.9262671910699863
337,Nottingham South,East Midlands,200000,475,24700,7950,5,12,-1.1598109360749127,0.8354565879414496
338,Nuneaton,West Midlands,210000,574,29864,7600,4,14,0.1039943063708775,-0.5287589258167279
339,Old Bexley and Sidcup,London,435000,518,26910,12000,3,6,1.2003788696995077,1.4087030084738155
340,Oldham East and Saddleworth,North West,180000,466,24222,9200,7,13,-1.6475265344813566,1.5084494364506114
341,Oldham West and Royton,North West,160000,530,27539,8000,7,17,-1.3026583983888824,0.3766831731628809
342,Orpington,London,495000,528,27461,13200,3,6,1.59424406015275,1.5815986003718487
343,Oxford East,South East,392500,607,31543,5500,2,8,1.864402658063124,-0.8105407661095484
344,Oxford West and Abingdon,South East,400000,625,32505,6000,2,8,2.1516188884936955,-0.8900684749112296
345,Pendle,North West,125000,468,24357,3400,3,19,-2.08653880041491,-1.0436827762228433
346,Penistone and Stocksbridge,Yorkshire and The Humber,190000,496,25802,4750,3,14,-0.9826748536562357,-0.5394260865244881
347,Penrith and The Border,North West,198875,508,26426,1775,1,13,-0.576107123238741,-1.4972519123152406
348,Peterborough,East of England,202000,455,23634,6600,4,12,-1.3466016277982833,0.5583474571082153
349,"Plymouth, Moor View",South West,185000,480,24950,4550,3,13,-1.1291523665826158,-0.34051924592144095
350,"Plymouth, Sutton and Devonport",South West,185000,489,25402,5000,3,14,-1.0836702797820663,-0.4474618403971852
351,Poole,South West,322000,546,28376,8800,3,9,0.7604372797350899,0.25650511851241414
352,Poplar and Limehouse,London,555000,1054,54813,11575,2,10,8.356885613053862,-3.8411762839414068
353,Portsmouth North,South East,257000,540,28101,7400,3,11,0.2184700827746471,-0.17679045819773592
354,Portsmouth South,South East,231250,508,26411,6250,3,11,-0.34388716689200055,-0.09355367059808031
355,Preston,North West,120000,484,25184,4000,4,21,-2.1839362608945496,-1.021493562865262
356,Pudsey,Yorkshire and The Humber,230000,469,24398,7000,4,11,-0.9545422908523138,0.6238425974760556
357,Putney,London,600000,577,29994,2010,0,5,2.5534083632363584,-0.9681520178412923
358,Rayleigh and Wickford,East of England,375000,477,24778,9000,3,7,0.2294237825566225,1.1640702214617578
359,Reading East,South East,359975,640,33254,4995,1,9,2.2041617329205763,-1.5871632716536108
360,Reading West,South East,315000,591,30753,575,0,10,1.252950970981951,-2.2102209744839985
361,Redcar,North East,137000,426,22173,2000,2,16,-2.252075066281641,-0.8444551651676185
362,Redditch,West Midlands,235000,489,25449,5000,2,11,-0.5004588547466964,-0.36714242873321196
363,Reigate,South East,459400,545,28335,11580,3,6,1.6181246629027237,1.1483467444240743
364,Ribble Valley,North West,199950,548,28501,2490,1,14,-0.10838189945828498,-1.8406516773562502
365,Richmond (Yorks),Yorkshire and The Humber,231000,439,22833,5200,3,10,-1.2026218853187494,0.4604969363460421
366,Richmond Park,London,905000,548,28470,43400,6,3,4.53319391942584,7.375767418871489
367,Rochdale,North West,155000,422,21965,5500,4,14,-2.164814403662232,0.4339334431205453
368,Rochester and Strood,South East,290000,537,27929,7300,3,10,0.37534410743061614,-0.018372103643576613
369,Rochford and Southend East,East of England,286750,460,23894,6550,3,8,-0.49769025311777887,0.7387308096888215
370,Romford,London,413750,480,24934,10750,3,6,0.5734370445001855,1.5360435810489494
371,Romsey and Southampton North,South East,375000,563,29266,8000,2,8,1.3502804356246518,-0.10044958644247097
372,Rossendale and Darwen,North West,154000,435,22594,4800,4,15,-2.128691942780147,0.13175800293985437
373,Rother Valley,Yorkshire and The Humber,180000,502,26109,5600,4,15,-1.1244554873016317,-0.31017475912989134
374,Rotherham,Yorkshire and The Humber,140000,475,24705,4800,4,18,-1.923673441916067,-0.5221125688591063
375,Rugby,West Midlands,240000,469,24409,3251,1,10,-0.6014325150579279,-0.6058574204207268
376,"Ruislip, Northwood and Pinner",London,625000,491,25553,20000,4,4,1.921576261391635,3.5211076028560666
377,Runnymede and Weybridge,South East,479000,570,29640,11300,3,6,1.9981431240533212,0.9189415499349944
378,Rushcliffe,East Midlands,290000,509,26478,2401,1,9,0.13947344682729626,-0.906038259079836
379,Rutland and Melton,East Midlands,265000,491,25511,6000,3,10,-0.37433713216061765,0.1689673047992159
380,Saffron Walden,East of England,440000,477,24820,5550,1,6,0.6518222588029241,0.33235497103709205
381,Salford and Eccles,North West,206092,586,30462,9218,6,15,-0.03981158692775353,0.03703705345183603
382,Salisbury,South West,305000,530,27581,2710,1,9,0.480296065213294,-1.0255357694405354
383,Scarborough and Whitby,Yorkshire and The Humber,180750,490,25501,4150,3,14,-1.1192188657643598,-0.586026082159959
384,Scunthorpe,Yorkshire and The Humber,143250,440,22859,3800,3,16,-2.1030224259389745,-0.43229606883014293
385,Sedgefield,North East,129950,514,26738,1990,2,21,-1.585179158188803,-2.0929869243389603
386,Sefton Central,North West,233000,411,21377,6200,3,9,-1.4229268939496458,0.9429733220187294
387,Selby and Ainsty,Yorkshire and The Humber,235000,452,23494,4450,2,10,-0.9221122674504065,-0.0224218890755654
388,Sevenoaks,South East,450000,516,26832,8400,2,6,1.1927810143179178,0.6739735973363217
389,Sheffield Central,Yorkshire and The Humber,185000,518,26941,8000,6,15,-1.0544847435181177,0.43329685426357817
390,Sheffield South East,Yorkshire and The Humber,155275,505,26250,4655,4,17,-1.3978691392805103,-0.6904924195208795
391,"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,138000,504,26182,4050,3,19,-1.5478212997689742,-1.246481533577166
392,"Sheffield, Hallam",Yorkshire and The Humber,308250,489,25438,4650,2,8,0.0029312137814054397,-0.022936006767119814
393,"Sheffield, Heeley",Yorkshire and The Humber,183000,426,22131,6600,4,12,-1.7887819400172364,0.7840899206297324
394,Sherwood,East Midlands,195000,469,24404,5001,3,13,-1.2144064638876904,-0.1662781392834103
395,Shipley,Yorkshire and The Humber,195000,454,23613,4000,2,12,-1.2330548120537725,-0.3516774988947356
396,Shrewsbury and Atcham,West Midlands,235000,581,30196,5000,2,13,0.51346719562352,-1.36131788294407
397,Sittingbourne and Sheppey,South East,275000,469,24404,7400,3,9,-0.4657419154019012,0.663978802118514
398,Skipton and Ripon,Yorkshire and The Humber,250000,465,24196,6000,3,10,-0.7598179535150175,0.3718509431187809
399,Sleaford and North Hykeham,East Midlands,230000,420,21830,7500,4,9,-1.3906318413221042,1.312311173566861
400,Slough,South East,340000,720,37440,4000,1,11,2.954843631868176,-2.651713584199624
401,Solihull,West Midlands,295000,478,24835,5800,2,8,-0.13503208422354784,0.21667705131230283
402,Somerton and Frome,South West,307300,487,25345,8060,3,8,0.0014564578243402083,0.7399782344833541
403,South Basildon and East Thurrock,East of England,320000,483,25132,9000,3,8,0.035915535772597096,0.9276474993444181
404,South Cambridgeshire,East of England,400000,476,24731,5000,1,6,0.47298185132514253,0.20330959792991085
405,South Derbyshire,East Midlands,225000,479,24913,5000,3,11,-0.8013886186130869,-0.022664909062412354
406,South Dorset,South West,250000,499,25964,4000,2,10,-0.27581334307873606,-0.4794416804804652
407,South East Cambridgeshire,East of England,335000,620,32235,2800,1,10,1.666376313150777,-1.8506677410438517
408,South East Cornwall,South West,245000,452,23494,9800,5,10,-1.0393896873008064,1.553970314853906
409,South Holland and The Deepings,East Midlands,225000,517,26894,8201,4,12,-0.3793232306633264,0.26747691246999367
410,South Leicestershire,East Midlands,259975,496,25808,8005,4,10,-0.3612839899597809,0.6646529088339553
411,South Norfolk,East of England,280000,580,30134,6000,2,11,0.8809629503488627,-0.9563846896122067
412,South Northamptonshire,East Midlands,315000,575,29879,5401,2,9,1.0888139439200408,-0.7570405542567473
413,South Ribble,North West,195000,458,23795,4200,2,12,-1.1746520540276122,-0.35688304951595884
414,South Shields,North East,137250,433,22495,2650,2,16,-2.1344181905540602,-0.8114953225482937
415,South Staffordshire,West Midlands,249995,750,38984,7999,4,16,2.3691868160403486,-2.1467530049330286
416,South Suffolk,East of England,310000,476,24736,6900,3,8,-0.19245546724770446,0.6825194245086047
417,South Swindon,South West,231000,594,30872,2201,1,13,0.6720597470409463,-2.144966078510187
418,South Thanet,South East,290000,462,24008,11000,5,8,-0.518338086143702,1.8892035286166529
419,South West Bedfordshire,East of England,310000,453,23561,6200,2,8,-0.3885733744651025,0.5156807600525947
420,South West Devon,South West,265000,464,24144,8000,4,9,-0.6710508182646634,1.0467841225409595
421,South West Hertfordshire,East of England,555000,534,27747,11000,2,5,1.9939989576714183,1.1400774311790747
422,South West Norfolk,East of England,245500,652,33883,7400,4,14,1.228178767112642,-1.1869081166927649
423,South West Surrey,South East,500000,524,27264,9000,2,5,1.587784444694342,0.8574980979815857
424,South West Wiltshire,South West,265000,427,22183,7400,3,8,-0.9612420785819159,1.114367238788739
425,"Southampton, Itchen",South East,245000,542,28205,6000,3,12,0.046654879286215374,-0.5011779093647906
426,"Southampton, Test",South East,230000,606,31507,5000,2,14,0.7330759977031548,-1.6831023466557737
427,Southend West,East of England,350000,478,24851,10600,4,7,0.10162199748224753,1.6078459433325207
428,Southport,North West,190000,402,20894,4400,3,11,-1.9551368193335692,0.5199497174527418
429,Spelthorne,South East,418000,581,30207,6600,2,7,1.7563494122487187,-0.29547381586201826
430,St Albans,East of England,565125,392,20394,12325,2,4,0.3320837125611383,2.6871711806236194
431,St Austell and Newquay,South West,256000,486,25272,10500,5,10,-0.5240246074792209,1.36780897532574
432,St Helens North,North West,160000,502,26099,5000,4,16,-1.3128887274106784,-0.5169231621810382
433,St Helens South and Whiston,North West,151500,479,24903,5300,4,16,-1.627715820173406,-0.2850546507978068
434,St Ives,South West,300000,427,22220,12200,5,7,-0.789534873802991,2.4716978046219458
435,Stafford,West Midlands,215000,403,20946,5000,3,10,-1.7380078116084439,0.72671297487725
436,Staffordshire Moorlands,West Midlands,190000,529,27503,5000,3,14,-0.5419258405769498,-0.7951899940273547
437,Stalybridge and Hyde,North West,180000,404,21003,7801,6,12,-2.296562265767948,1.6819093663056617
438,Stevenage,East of England,320000,546,28382,8000,3,9,0.7166510697692109,0.14087829255286224
439,Stockport,North West,225465,510,26520,11093,7,12,-0.7375457335451046,1.5475342192640276
440,Stockton North,North East,127500,527,27420,700,1,22,-1.4405902979390015,-2.7551833245989603
441,Stockton South,North East,165000,453,23546,490,0,14,-1.4284970533513452,-1.6051754754447178
442,Stoke-on-Trent Central,West Midlands,125000,384,19958,3800,4,16,-3.028985328737554,0.30371050769731156
443,Stoke-on-Trent North,West Midlands,134975,524,27258,4995,5,20,-1.6082013927636682,-0.8494816171797748
444,Stoke-on-Trent South,West Midlands,149750,435,22641,4950,4,15,-2.130069483100341,0.14193159496974814
445,Stone,West Midlands,235000,416,21616,4600,2,9,-1.2945136731020366,0.4092450620163772
446,Stourbridge,West Midlands,209250,475,24705,7250,4,12,-1.026407954339135,0.48127932808359597
447,Stratford-on-Avon,West Midlands,338500,485,25241,5300,2,7,0.17626633200200686,0.24254366565946117
448,Streatham,London,535000,473,24591,7000,1,5,1.0777214768535506,0.8162355712142793
449,Stretford and Urmston,North West,274000,534,27789,14200,7,10,0.07167552965419902,2.029019631197891
450,Stroud,South West,300000,468,24326,7000,3,8,-0.3252136664924624,0.7507628955559003
451,Suffolk Coastal,East of England,300000,607,31548,5365,2,11,1.2723059902904537,-1.252932558236198
452,Sunderland Central,North East,135000,437,22714,2000,2,17,-2.210375457593168,-1.0339744736638228
453,Surrey Heath,South East,420000,586,30482,5250,1,7,1.901088290086671,-0.7972927286036463
454,Sutton and Cheam,London,440000,628,32640,10000,3,7,2.4689026268750385,0.07109845145724587
455,Sutton Coldfield,West Midlands,327500,516,26832,10500,4,8,0.4263389455502037,1.12950271152769
456,Tamworth,West Midlands,226300,480,24981,6260,3,11,-0.7224267218525687,0.1454684085409522
457,Tatton,North West,340000,545,28356,5000,2,8,0.858599222750829,-0.41913949780693927
458,Taunton Deane,South West,250000,463,24055,6000,3,10,-0.7905731785327684,0.3926966385902794
459,Telford,West Midlands,180000,442,22994,6001,4,13,-1.705690662306655,0.4596552497760748
460,Tewkesbury,South West,276000,570,29630,2200,1,11,0.6940181638228241,-1.677899271263165
461,The Cotswolds,South West,390000,497,25844,8750,3,7,0.5326744962178869,0.9739474268940164
462,The Wrekin,West Midlands,225500,557,28985,7101,4,13,0.002751613020558148,-0.3321041130407285
463,Thirsk and Malton,Yorkshire and The Humber,240000,450,23410,6900,3,10,-0.9476886197813512,0.6149685745057609
464,Thornbury and Yate,South West,315000,538,27960,4400,2,9,0.5591213815138144,-0.5700870247062563
465,Thurrock,East of England,314500,547,28444,8400,3,9,0.7312668994497008,0.1783200183852962
466,Tiverton and Honiton,South West,270000,450,23379,6006,3,9,-0.8011667768156716,0.6322369666611146
467,Tonbridge and Malling,South East,421000,513,26671,8200,2,6,1.0455468025575307,0.6264929095715146
468,Tooting,London,653000,532,27659,16600,3,4,2.522203595743935,2.459112782809063
469,Torbay,South West,218000,400,20784,7600,4,10,-1.7795775947073855,1.3929425721060629
470,Torridge and West Devon,South West,260250,374,19443,8050,4,7,-1.6798366037514059,2.0275787094577917
471,Totnes,South West,315000,422,21923,11001,4,7,-0.7308165490447879,2.104748467780675
472,Tottenham,London,490000,459,23873,8000,2,5,0.6567903378800535,1.2776950467280255
473,Truro and Falmouth,South West,300000,477,24778,8000,3,8,-0.16249795333419012,0.812373423304368
474,Tunbridge Wells,South East,395000,547,28418,6000,2,7,1.2037763427561126,-0.11361867587855978
475,Twickenham,London,659975,565,29359,16995,3,4,2.99324447238705,2.234895865337967
476,Tynemouth,North East,210000,485,25194,2234,1,12,-0.7303693452469906,-1.117013302907888
477,Uxbridge and South Ruislip,London,470000,548,28491,10000,2,6,1.75306859476123,0.6471094967914702
478,Vauxhall,London,558500,657,34148,-6299,-1,6,3.1077592914776635,-3.266662560143616
479,Wakefield,Yorkshire and The Humber,184000,474,24664,6800,5,13,-1.3704936177603866,0.5648163437855319
480,Wallasey,North West,169525,479,24903,6905,5,15,-1.5343258542312814,0.33062133442366753
481,Walsall North,West Midlands,165000,507,26369,7000,5,16,-1.2695850388524887,-0.00357394788342477
482,Walsall South,West Midlands,175000,513,26681,5801,4,15,-0.9882502829095697,-0.3874074370690706
483,Walthamstow,London,493998,417,21668,8800,2,4,0.24838107805794157,1.8610663161877372
484,Wansbeck,North East,134950,498,25870,-210,0,19,-1.4339139404592267,-2.606163655621218
485,Wantage,South East,355000,734,38147,4000,1,11,3.185669157379924,-2.7497721978124057
486,Warley,West Midlands,186000,501,26031,7210,5,14,-1.0877827527337887,0.2979905755729527
487,Warrington North,North West,190250,571,29697,6250,4,16,-0.24956451673041968,-0.9050059420781058
488,Warrington South,North West,240000,510,26536,8210,4,11,-0.327585836829179,0.4458203595889871
489,Warwick and Leamington,West Midlands,291788,450,23405,1858,1,8,-0.5597606023920201,-0.3650102668079807
490,Washington and Sunderland West,North East,123741,513,26666,2148,2,22,-1.7055235709035335,-2.1618986148243313
491,Watford,East of England,410000,556,28922,5200,1,7,1.473276047216752,-0.5548472157113639
492,Waveney,East of England,225000,494,25698,9000,5,11,-0.6851791149079277,0.9450396113673716
493,Wealden,South East,376000,501,26052,9200,3,7,0.5588395152834074,0.9790658824236966
494,Weaver Vale,North West,215000,583,30295,4201,2,14,0.34237418645254025,-1.614027312847089
495,Wellingborough,East Midlands,230000,551,28626,7450,4,12,0.04146713779945724,-0.12736511909810302
496,Wells,South West,265000,446,23202,6000,3,9,-0.8666757226754347,0.6561426668946657
497,Welwyn Hatfield,East of England,400000,439,22844,6000,2,6,-0.09277046479492658,0.9381118482527434
498,Wentworth and Dearne,Yorkshire and The Humber,144498,486,25256,3900,3,17,-1.5841696390756919,-0.9153942670386055
499,West Bromwich East,West Midlands,192000,552,28725,8400,6,15,-0.566050993680933,0.19824801234186717
500,West Bromwich West,West Midlands,174000,495,25745,8000,6,15,-1.3919276191516865,0.6191922187275453
501,West Dorset,South West,320000,449,23338,7000,2,7,-0.27984585975700715,0.771903588355151
502,West Ham,London,431750,688,35755,4350,1,8,3.1347810767494746,-1.8959228130679724
503,West Lancashire,North West,185000,499,25932,1800,1,14,-0.8338328966914975,-1.525752871354593
504,West Suffolk,East of England,260000,607,31569,6000,3,12,0.9439290758320131,-1.0509537511449376
505,West Worcestershire,West Midlands,295000,480,24981,6000,2,8,-0.09420393903990812,0.22338374846160466
506,Westminster North,London,845995,633,32900,15199,2,4,4.5599810673839,1.4089662454454703
507,Westmorland and Lonsdale,North West,255000,456,23717,3010,1,9,-0.6425952482968645,-0.40752129093483574
508,Weston-Super-Mare,South West,245000,449,23358,7401,4,10,-1.0547644260534152,0.972568176616474
509,Wigan,North West,157500,478,24851,4500,3,16,-1.523700674189534,-0.6491549374541388
510,Wimbledon,London,760000,575,29900,26000,4,4,3.7551299342137052,3.8352725027019945
511,Winchester,South East,461500,577,29988,6300,1,6,2.0614082218450154,-0.4104361473133069
512,Windsor,South East,495100,670,34861,7020,2,7,3.201903677971956,-0.9029219596114214
513,Wirral South,North West,220000,474,24632,7010,4,11,-0.9258487267025866,0.5671834640524713
514,Wirral West,North West,250000,380,19770,9400,5,8,-1.7963382521758737,2.324672269539093
515,Witham,East of England,333250,504,26198,6250,2,8,0.3562912585236596,0.10991961729612049
516,Witney,South East,340000,546,28392,1000,0,8,0.9498939197801012,-1.5274898825401495
517,Woking,South East,420000,653,33930,4000,1,8,2.620983194419768,-1.6535788117927643
518,Wokingham,South East,437600,540,28101,5520,1,6,1.46540794919736,-0.23359143473723573
519,Wolverhampton North East,West Midlands,175000,491,25522,7000,5,15,-1.3553023820915429,0.24692401282553478
520,Wolverhampton South East,West Midlands,170000,559,29058,8600,7,17,-0.8605461457453618,0.2190895705584027
521,Wolverhampton South West,West Midlands,213000,526,27326,6900,4,13,-0.4595948923468886,-0.10194064918980915
522,Worcester,West Midlands,220000,498,25891,5000,3,12,-0.662747824007937,-0.2895695272461694
523,Workington,North West,140000,487,25319,-2000,-1,18,-1.4165209740310982,-2.9319603896918545
524,Worsley and Eccles South,North West,200000,509,26452,7000,4,13,-0.7194862504960355,0.040794488524912
525,Worthing West,South East,327581,492,25568,6266,2,8,0.18047353119442794,0.20976959918123617
526,Wycombe,South East,375000,638,33171,7450,2,9,2.212823020458733,-0.9330925607850562
527,Wyre and Preston North,North West,213275,448,23270,3655,2,11,-1.1785581159538543,-0.22330717575653045
528,Wyre Forest,West Midlands,220000,488,25371,8200,5,12,-0.9113299107008647,0.7878706991682882
529,Wythenshawe and Sale East,North West,227250,510,26504,10455,6,12,-0.6290761944464173,1.19185349198455
530,Yeovil,South West,230000,502,26125,5400,3,11,-0.4633216246177313,-0.1635814620045933
531,York Central,Yorkshire and The Humber,250000,456,23728,7900,4,9,-0.8309032171555528,1.079547372260046
532,York Outer,Yorkshire and The Humber,300000,505,26276,9000,4,9,0.029713671556861315,0.8799602285512914
